cipcode,cip6,cip2d,cip3d,cip4d,Awards,stem,ciptitle,onettitle,onetcode,know_score,unprof_score,nonstem_score,stem_score,math_score,comp_score,engin_score,science_score,bio_score,chem_score,physics_score,med_score,econ_score,manage_score,english_score,law_score,stem_raw,know_raw,comp_raw,science_raw,math_raw,engin_raw,_merge,Avg_Stem2,Avg_Stem3,Avg_Stem4,Avg_Stem2_raw,Avg_Stem3_raw,Avg_Stem4_raw,Avg_know2,Avg_know3,Avg_know4,Avg_know2x_raw,Avg_know2_raw,Avg_know3x_raw,Avg_know3_raw,Avg_know4x_raw,Avg_know4_raw,Avg_engin2,Avg_engin3,Avg_engin4,Avg_science2,Avg_science3,Avg_science4,Avg_comp2,Avg_comp3,Avg_comp4,Avg_math2,Avg_math3,Avg_math4,Avg_bio2,Avg_bio3,Avg_bio4,Avg_physics2,Avg_physics3,Avg_physics4,Avg_chem2,Avg_chem3,Avg_chem4,Best_STEM_score,Best_engin_score,Best_comp_score,Best_math_score,Best_science_score,Best_bio_score,Best_chem_score,Best_physics_score,Best_stem_raw,Best_know_score,Best_know_raw,Med_Avg_Stem2,Mean_Avg_Stem2,Z_Best_comp_score,Z_Best_engin_score,Z_Best_math_score,Z_Best_science_score,Z_Best_physics_score,Z_Best_chem_score,Z_Best_bio_score,stem_cip_onet,stem_high_any,stem_high_any2,stem_cip_mix,z_Avg_Stem2,z_Avg_bio2,z_Avg_physics2,z_Avg_chem2,z_Avg_engin2,z_Avg_comp2,z_Avg_math2,z_Avg_science2,z_Avg_Stem3,z_Avg_bio3,z_Avg_physics3,z_Avg_chem3,z_Avg_engin3,z_Avg_comp3,z_Avg_math3,z_Avg_science3
"26.0205-Molecular Biochemistry",260205,"26","260","2602",524,1,"Molecular Biochemistry","Biochemists and Biophysicists","19-1021.00",8.062198,-11.91134,-9.783397,17.84559,2.532548,1.279183,2.018046,12.01582,4.653291,3.882697,3.47983,1.749745,-.2680998,.4515181,1.450233,-1.072038,5.291667,2.304848,4.55,5.683333,5.91,4.24,"matched (3)",10.47589,10.68031,12.29805,4.063383,4.097452,4.367076,14.6393,15.34699,14.24157,2.504155,2.504155,2.5256,2.5256,2.492102,2.492102,.5783085,.6277457,1.051026,7.59349,7.800822,8.698776,1.042078,.992582,.9713701,1.262016,1.259157,1.576881,3.990107,4.060859,4.059708,1.176138,1.227238,1.835872,2.427244,2.512726,2.803196,17.84559,2.018046,1.279183,2.532548,12.01582,4.653291,3.882697,3.47983,5.291667,8.062198,2.304848,1.783034,2.081026,.8581977,1.480551,2.301986,2.899301,2.712473,2.616971,2.38265,1,1,1,1,1.699467,2.273994,.9963498,1.843836,.5009884,.717546,1.170398,1.99338,1.712807,2.272418,1.025868,1.872755,.5322085,.629932,1.141509,2.019154
"26.0206-Molecular Biophysics",260206,"26","260","2602",11,1,"Molecular Biophysics","Biochemists and Biophysicists","19-1021.00",8.062198,-11.91134,-9.783397,17.84559,2.532548,1.279183,2.018046,12.01582,4.653291,3.882697,3.47983,1.749745,-.2680998,.4515181,1.450233,-1.072038,5.291667,2.304848,4.55,5.683333,5.91,4.24,"matched (3)",10.47589,10.68031,12.29805,4.063383,4.097452,4.367076,14.6393,15.34699,14.24157,2.504155,2.504155,2.5256,2.5256,2.492102,2.492102,.5783085,.6277457,1.051026,7.59349,7.800822,8.698776,1.042078,.992582,.9713701,1.262016,1.259157,1.576881,3.990107,4.060859,4.059708,1.176138,1.227238,1.835872,2.427244,2.512726,2.803196,17.84559,2.018046,1.279183,2.532548,12.01582,4.653291,3.882697,3.47983,5.291667,8.062198,2.304848,1.783034,2.081026,.8581977,1.480551,2.301986,2.899301,2.712473,2.616971,2.38265,1,1,1,1,1.699467,2.273994,.9963498,1.843836,.5009884,.717546,1.170398,1.99338,1.712807,2.272418,1.025868,1.872755,.5322085,.629932,1.141509,2.019154
"14.4401-Engineering Chemistry",144401,"14","144","1444",5,1,"Engineering Chemistry","Architectural and Engineering Managers","11-9041.00",36.0222,17.43116,19.6291,16.3931,2.312548,1.486682,3.890547,8.703318,2.440791,2.945196,3.31733,.2447453,1.0094,1.051518,.9952337,.9579618,5.049583,3.152121,4.7575,4.579166,5.69,6.1125,"matched (3)",13.58129,14.65584,16.3931,4.580949,4.760042,5.049583,32.50967,31.98164,36.0222,3.045681,3.045681,3.02968,3.02968,3.152121,3.152121,3.627053,3.709195,3.890547,6.178809,7.216234,8.703318,1.659097,1.598405,1.486682,2.116331,2.132011,2.312548,1.132949,1.530078,2.440791,2.999699,3.143682,3.31733,2.046162,2.542474,2.945196,16.3931,3.890547,1.486682,2.312548,8.703318,2.440791,2.945196,3.31733,5.049583,36.0222,3.152121,1.783034,2.081026,1.108387,2.816102,2.072272,2.013579,2.582251,1.93667,1.014072,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.505668,.4979747,2.778638,1.897818,2.944641,1.557259,2.234685,1.839916
"14.0501-Bioengineering and Biomedical Engineering",140501,"14","140","1405",7889,1,"Bioengineering and Biomedical Engineering","Architectural and Engineering Managers","11-9041.00",37.38553,17.68533,21.04994,16.33559,2.362548,1.962516,3.858047,8.152484,2.393291,2.439363,3.31983,1.086412,.9685668,.7448514,1.400234,.8779618,5.04,3.193434,5.233333,4.395555,5.74,6.08,"matched (3)",13.58129,13.62818,16.33559,4.580949,4.588764,5.04,32.50967,34.52837,37.38553,3.045681,3.045681,3.106853,3.106853,3.193434,3.193434,3.627053,3.719734,3.858047,6.178809,5.988887,8.152484,1.659097,1.759533,1.962516,2.116331,2.160024,2.362548,1.132949,1.059987,2.393291,2.999699,3.016286,3.31983,2.046162,1.912614,2.439363,16.33559,3.858047,1.962516,2.362548,8.152484,2.393291,2.439363,3.31983,5.04,37.38553,3.193434,1.783034,2.081026,1.682116,2.792922,2.12448,1.866293,2.584255,1.569609,.9846903,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.300716,.1683728,2.662122,1.367159,2.952892,1.803898,2.269769,1.463606
"14.0799-Chemical Engineering, Other",140799,"14","140","1407",2,1,"Chemical Engineering, Other","Chemical Engineers","17-2041.00",41.08553,22.84866,25.1466,15.93893,2.369215,1.692516,4.008047,7.869151,1.766624,2.71603,3.386497,.0130786,1.268567,1.164851,1.160234,1.124628,4.973889,3.305556,4.963333,4.301111,5.746667,6.23,"matched (3)",13.58129,13.62818,15.38604,4.580949,4.588764,4.881741,32.50967,34.52837,35.39831,3.045681,3.045681,3.106853,3.106853,3.133215,3.133215,3.627053,3.719734,3.750213,6.178809,5.988887,7.851095,1.659097,1.759533,1.556127,2.116331,2.160024,2.228603,1.132949,1.059987,1.876902,2.999699,3.016286,3.161552,2.046162,1.912614,2.812641,15.93893,4.008047,1.692516,2.369215,7.869151,1.766624,2.71603,3.386497,4.973889,41.08553,3.305556,1.783034,2.081026,1.356568,2.899908,2.131441,1.790533,2.637679,1.770374,.5970554,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.300716,.1683728,2.662122,1.367159,2.952892,1.803898,2.269769,1.463606
"14.2401-Ocean Engineering",142401,"14","142","1424",313,1,"Ocean Engineering","Architectural and Engineering Managers","11-9041.00",34.39886,16.222,18.65327,15.74559,2.289215,1.552516,3.74138,8.162484,2.346624,2.612696,3.203164,.3264119,.8652335,.9148514,1.1669,.9379618,4.941667,3.102929,4.823333,4.398889,5.666667,5.963334,"matched (3)",13.58129,14.34455,15.74559,4.580949,4.70816,4.941667,32.50967,35.16126,34.39886,3.045681,3.045681,3.126032,3.126032,3.102929,3.102929,3.627053,3.833359,3.74138,6.178809,6.624359,8.162484,1.659097,1.702099,1.552516,2.116331,2.184735,2.289215,1.132949,1.135895,2.346624,2.999699,3.255559,3.203164,2.046162,2.232905,2.612696,15.74559,3.74138,1.552516,2.289215,8.162484,2.346624,2.612696,3.203164,4.941667,34.39886,3.102929,1.783034,2.081026,1.187765,2.70971,2.047909,1.868967,2.490762,1.695389,.9558239,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.443586,.2215955,2.88096,1.637005,3.041848,1.715984,2.300718,1.658445
"14.3401-Forest Engineering",143401,"14","143","1434",27,1,"Forest Engineering","Architectural and Engineering Managers","11-9041.00",34.39886,16.222,18.65327,15.74559,2.289215,1.552516,3.74138,8.162484,2.346624,2.612696,3.203164,.3264119,.8652335,.9148514,1.1669,.9379618,4.941667,3.102929,4.823333,4.398889,5.666667,5.963334,"matched (3)",13.58129,12.52465,15.74559,4.580949,4.404842,4.941667,32.50967,29.23656,34.39886,3.045681,3.045681,2.946496,2.946496,3.102929,3.102929,3.627053,3.24543,3.74138,6.178809,5.907501,8.162484,1.659097,1.386841,1.552516,2.116331,1.984877,2.289215,1.132949,1.386706,2.346624,2.999699,2.585542,3.203164,2.046162,1.935253,2.612696,15.74559,3.74138,1.552516,2.289215,8.162484,2.346624,2.612696,3.203164,4.941667,34.39886,3.102929,1.783034,2.081026,1.187765,2.70971,2.047909,1.868967,2.490762,1.695389,.9558239,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.080634,.3974502,2.268166,1.386233,2.581565,1.233421,2.050412,1.438652
"14.3801-Surveying Engineering",143801,"14","143","1438",92,1,"Surveying Engineering","Architectural and Engineering Managers","11-9041.00",34.39886,16.222,18.65327,15.74559,2.289215,1.552516,3.74138,8.162484,2.346624,2.612696,3.203164,.3264119,.8652335,.9148514,1.1669,.9379618,4.941667,3.102929,4.823333,4.398889,5.666667,5.963334,"matched (3)",13.58129,12.52465,15.74559,4.580949,4.404842,4.941667,32.50967,29.23656,34.39886,3.045681,3.045681,2.946496,2.946496,3.102929,3.102929,3.627053,3.24543,3.74138,6.178809,5.907501,8.162484,1.659097,1.386841,1.552516,2.116331,1.984877,2.289215,1.132949,1.386706,2.346624,2.999699,2.585542,3.203164,2.046162,1.935253,2.612696,15.74559,3.74138,1.552516,2.289215,8.162484,2.346624,2.612696,3.203164,4.941667,34.39886,3.102929,1.783034,2.081026,1.187765,2.70971,2.047909,1.868967,2.490762,1.695389,.9558239,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.080634,.3974502,2.268166,1.386233,2.581565,1.233421,2.050412,1.438652
"14.2301-Nuclear Engineering",142301,"14","142","1423",1187,1,"Nuclear Engineering","Nuclear Engineers","17-2161.00",38.1122,20.16866,22.4166,15.69559,2.432548,1.935849,4.048047,7.27915,1.243291,2.452696,3.583163,-.2835881,1.078567,1.128185,1.2869,1.244629,4.933333,3.215455,5.206666,4.104445,5.81,6.27,"matched (3)",13.58129,14.34455,15.69559,4.580949,4.70816,4.933333,32.50967,35.16126,38.1122,3.045681,3.045681,3.126032,3.126032,3.215455,3.215455,3.627053,3.833359,4.048047,6.178809,6.624359,7.27915,1.659097,1.702099,1.935849,2.116331,2.184735,2.432548,1.132949,1.135895,1.243291,2.999699,3.255559,3.583163,2.046162,2.232905,2.452696,15.69559,4.048047,1.935849,2.432548,7.27915,1.243291,2.452696,3.583163,4.933333,38.1122,3.215455,1.783034,2.081026,1.649963,2.928438,2.197571,1.632774,2.795281,1.579285,.273339,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.443586,.2215955,2.88096,1.637005,3.041848,1.715984,2.300718,1.658445
"14.4501-Biological/Biosystems Engineering",144501,"14","144","1445",209,1,"Biological/Biosystems Engineering","Architectural and Engineering Managers","11-9041.00",29.0322,11.11666,13.3906,15.64159,2.152548,1.581182,3.522047,8.385818,2.589291,2.780696,3.01583,.6917452,.7019001,.691518,.9982336,.5839618,4.924334,2.940303,4.852,4.473333,5.53,5.744,"matched (3)",13.58129,14.65584,15.64159,4.580949,4.760042,4.924334,32.50967,31.98164,29.0322,3.045681,3.045681,3.02968,3.02968,2.940303,2.940303,3.627053,3.709195,3.522047,6.178809,7.216234,8.385818,1.659097,1.598405,1.581182,2.116331,2.132011,2.152548,1.132949,1.530078,2.589291,2.999699,3.143682,3.01583,2.046162,2.542474,2.780696,15.64159,3.522047,1.581182,2.152548,8.385818,2.589291,2.780696,3.01583,4.924334,29.0322,2.940303,1.783034,2.081026,1.222329,2.553271,1.905207,1.928684,2.340639,1.817299,1.105929,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.505668,.4979747,2.778638,1.897818,2.944641,1.557259,2.234685,1.839916
"40.1001-Materials Science",401001,"40","401","4010",473,1,"Materials Science","Architectural and Engineering Managers","11-9041.00",35.14886,17.492,19.6966,15.45226,2.385881,1.719182,3.82138,7.525817,1.343291,2.68603,3.496497,.0830786,.8052335,1.041518,1.3369,.7846285,4.892778,3.125657,4.99,4.186666,5.763333,6.043334,"matched (3)",11.61109,13.48948,13.48948,4.252584,4.565648,4.565648,18.05542,23.72109,23.72109,2.607673,2.607673,2.77936,2.77936,2.77936,2.77936,1.635861,2.677491,2.677491,6.875634,7.636651,7.636651,1.219037,1.215849,1.215849,1.880562,1.959492,1.959492,2.007703,1.824958,1.824958,2.42408,2.647052,2.647052,2.443851,3.164641,3.164641,15.45226,3.82138,1.719182,2.385881,7.525817,1.343291,2.68603,3.496497,4.892778,35.14886,3.125657,1.783034,2.081026,1.388721,2.766769,2.148844,1.69873,2.725829,1.748604,.3351957,1,1,1,1,1.929279,.8560819,2.160618,1.858147,1.342677,.9924862,1.960054,1.76933,2.273055,.7047278,2.324423,2.421995,2.136931,.9716851,2.01862,1.968818
"14.0702-Chemical and Biomolecular Engineering",140702,"14","140","1407",184,1,"Chemical and Biomolecular Engineering","Biochemical Engineers","17-2199.01",31.2522,14.21466,15.8486,15.40359,2.156548,1.419182,3.612047,8.215817,2.213291,2.946696,3.05583,.0477453,.8819002,.943518,.8542336,.7319618,4.884667,3.007576,4.69,4.416667,5.534,5.834,"matched (3)",13.58129,13.62818,15.38604,4.580949,4.588764,4.881741,32.50967,34.52837,35.39831,3.045681,3.045681,3.106853,3.106853,3.133215,3.133215,3.627053,3.719734,3.750213,6.178809,5.988887,7.851095,1.659097,1.759533,1.556127,2.116331,2.160024,2.228603,1.132949,1.059987,1.876902,2.999699,3.016286,3.161552,2.046162,1.912614,2.812641,15.40359,3.612047,1.419182,2.156548,8.215817,2.213291,2.946696,3.05583,4.884667,31.2522,3.007576,1.783034,2.081026,1.027,2.617463,1.909384,1.883228,2.372694,1.937758,.8733484,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.300716,.1683728,2.662122,1.367159,2.952892,1.803898,2.269769,1.463606
"14.4301-Biochemical Engineering",144301,"14","144","1443",58,1,"Biochemical Engineering","Architectural and Engineering Managers","11-9041.00",31.2522,14.21466,15.8486,15.40359,2.156548,1.419182,3.612047,8.215817,2.213291,2.946696,3.05583,.0477453,.8819002,.943518,.8542336,.7319618,4.884667,3.007576,4.69,4.416667,5.534,5.834,"matched (3)",13.58129,14.65584,15.40359,4.580949,4.760042,4.884667,32.50967,31.98164,31.2522,3.045681,3.045681,3.02968,3.02968,3.007576,3.007576,3.627053,3.709195,3.612047,6.178809,7.216234,8.215817,1.659097,1.598405,1.419182,2.116331,2.132011,2.156548,1.132949,1.530078,2.213291,2.999699,3.143682,3.05583,2.046162,2.542474,2.946696,15.40359,3.612047,1.419182,2.156548,8.215817,2.213291,2.946696,3.05583,4.884667,31.2522,3.007576,1.783034,2.081026,1.027,2.617463,1.909384,1.883228,2.372694,1.937758,.8733484,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.505668,.4979747,2.778638,1.897818,2.944641,1.557259,2.234685,1.839916
"14.0601-Ceramic Sciences and Engineering",140601,"14","140","1406",104,1,"Ceramic Sciences and Engineering","Materials Engineers","17-2131.00",37.11887,19.502,21.87994,15.23893,2.269215,1.805849,3.848047,7.315817,1.206624,2.679363,3.42983,.1497452,1.0219,1.004851,1.253567,.9746284,4.857223,3.185354,5.076667,4.116667,5.646667,6.07,"matched (3)",13.58129,13.62818,15.23893,4.580949,4.588764,4.857223,32.50967,34.52837,37.11887,3.045681,3.045681,3.106853,3.106853,3.185354,3.185354,3.627053,3.719734,3.848047,6.178809,5.988887,7.315817,1.659097,1.759533,1.805849,2.116331,2.160024,2.269215,1.132949,1.059987,1.206624,2.999699,3.016286,3.42983,2.046162,1.912614,2.679363,15.23893,3.848047,1.805849,2.269215,7.315817,1.206624,2.679363,3.42983,4.857223,37.11887,3.185354,1.783034,2.081026,1.493218,2.785789,2.027026,1.642579,2.672405,1.743766,.2506583,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.300716,.1683728,2.662122,1.367159,2.952892,1.803898,2.269769,1.463606
"14.2001-Metallurgical Engineering",142001,"14","142","1420",165,1,"Metallurgical Engineering","Architectural and Engineering Managers","11-9041.00",37.11887,19.502,21.87994,15.23893,2.269215,1.805849,3.848047,7.315817,1.206624,2.679363,3.42983,.1497452,1.0219,1.004851,1.253567,.9746284,4.857223,3.185354,5.076667,4.116667,5.646667,6.07,"matched (3)",13.58129,14.34455,15.23893,4.580949,4.70816,4.857223,32.50967,35.16126,37.11887,3.045681,3.045681,3.126032,3.126032,3.185354,3.185354,3.627053,3.833359,3.848047,6.178809,6.624359,7.315817,1.659097,1.702099,1.805849,2.116331,2.184735,2.269215,1.132949,1.135895,1.206624,2.999699,3.255559,3.42983,2.046162,2.232905,2.679363,15.23893,3.848047,1.805849,2.269215,7.315817,1.206624,2.679363,3.42983,4.857223,37.11887,3.185354,1.783034,2.081026,1.493218,2.785789,2.027026,1.642579,2.672405,1.743766,.2506583,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.443586,.2215955,2.88096,1.637005,3.041848,1.715984,2.300718,1.658445
"14.2801-Textile Sciences and Engineering",142801,"14","142","1428",307,1,"Textile Sciences and Engineering","Architectural and Engineering Managers","11-9041.00",37.11887,19.502,21.87994,15.23893,2.269215,1.805849,3.848047,7.315817,1.206624,2.679363,3.42983,.1497452,1.0219,1.004851,1.253567,.9746284,4.857223,3.185354,5.076667,4.116667,5.646667,6.07,"matched (3)",13.58129,14.34455,15.23893,4.580949,4.70816,4.857223,32.50967,35.16126,37.11887,3.045681,3.045681,3.126032,3.126032,3.185354,3.185354,3.627053,3.833359,3.848047,6.178809,6.624359,7.315817,1.659097,1.702099,1.805849,2.116331,2.184735,2.269215,1.132949,1.135895,1.206624,2.999699,3.255559,3.42983,2.046162,2.232905,2.679363,15.23893,3.848047,1.805849,2.269215,7.315817,1.206624,2.679363,3.42983,4.857223,37.11887,3.185354,1.783034,2.081026,1.493218,2.785789,2.027026,1.642579,2.672405,1.743766,.2506583,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.443586,.2215955,2.88096,1.637005,3.041848,1.715984,2.300718,1.658445
"14.3201-Polymer/Plastics Engineering",143201,"14","143","1432",269,1,"Polymer/Plastics Engineering","Architectural and Engineering Managers","11-9041.00",37.11887,19.502,21.87994,15.23893,2.269215,1.805849,3.848047,7.315817,1.206624,2.679363,3.42983,.1497452,1.0219,1.004851,1.253567,.9746284,4.857223,3.185354,5.076667,4.116667,5.646667,6.07,"matched (3)",13.58129,12.52465,15.23893,4.580949,4.404842,4.857223,32.50967,29.23656,37.11887,3.045681,3.045681,2.946496,2.946496,3.185354,3.185354,3.627053,3.24543,3.848047,6.178809,5.907501,7.315817,1.659097,1.386841,1.805849,2.116331,1.984877,2.269215,1.132949,1.386706,1.206624,2.999699,2.585542,3.42983,2.046162,1.935253,2.679363,15.23893,3.848047,1.805849,2.269215,7.315817,1.206624,2.679363,3.42983,4.857223,37.11887,3.185354,1.783034,2.081026,1.493218,2.785789,2.027026,1.642579,2.672405,1.743766,.2506583,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.080634,.3974502,2.268166,1.386233,2.581565,1.233421,2.050412,1.438652
"14.4001-Paper Science and Engineering",144001,"14","144","1440",30,1,"Paper Science and Engineering","Architectural and Engineering Managers","11-9041.00",39.2322,22.27116,24.0416,15.19059,2.217548,1.701682,3.915547,7.355817,1.368291,2.635196,3.35233,-.1477547,1.4144,1.171518,.9952337,.9229618,4.849167,3.249394,4.9725,4.13,5.595,6.1375,"matched (3)",13.58129,14.65584,15.19059,4.580949,4.760042,4.849167,32.50967,31.98164,39.2322,3.045681,3.045681,3.02968,3.02968,3.249394,3.249394,3.627053,3.709195,3.915547,6.178809,7.216234,7.355817,1.659097,1.598405,1.701682,2.116331,2.132011,2.217548,1.132949,1.530078,1.368291,2.999699,3.143682,3.35233,2.046162,2.542474,2.635196,15.19059,3.915547,1.701682,2.217548,7.355817,1.368291,2.635196,3.35233,4.849167,39.2322,3.249394,1.783034,2.081026,1.36762,2.833933,1.973078,1.653274,2.610299,1.711717,.3506598,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.505668,.4979747,2.778638,1.897818,2.944641,1.557259,2.234685,1.839916
"14.1004-Telecommunications Engineering",141004,"14","141","1410",375,1,"Telecommunications Engineering","Electronics Engineers, Except Computer","17-2072.00",31.2297,14.60616,16.3991,14.83059,2.170048,1.944182,3.675547,7.040817,1.633291,2.175196,3.23233,.1197453,.6744002,.716518,.9952337,.6779618,4.789166,3.006894,5.215,4.025,5.5475,5.8975,"matched (3)",13.58129,13.13807,13.58334,4.580949,4.50708,4.581292,32.50967,29.41723,29.2202,3.045681,3.045681,2.951971,2.951971,2.946,2.946,3.627053,3.559163,3.734672,6.178809,5.811443,5.701692,1.659097,1.690747,2.012807,2.116331,2.076722,2.134173,1.132949,.8362338,.6900409,2.999699,3.032416,3.22133,2.046162,1.942794,1.790321,14.83059,3.675547,1.944182,2.170048,7.040817,1.633291,2.175196,3.23233,4.789166,31.2297,3.006894,1.783034,2.081026,1.660011,2.662754,1.92348,1.569047,2.514135,1.377915,.51458,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.202972,.0114896,2.676874,1.392586,2.827183,1.698607,2.16544,1.4092
"14.0701-Chemical Engineering",140701,"14","140","1407",9870,1,"Chemical Engineering","Biofuels/Biodiesel Technology and Product Development Managers","11-9041.01",33.8572,17.47366,19.0416,14.81559,2.160048,1.556682,3.630547,7.468317,1.650791,2.775196,3.04233,-.1752547,1.0444,1.001518,.9427336,.8004618,4.786667,3.086515,4.8275,4.1675,5.5375,5.8525,"matched (3)",13.58129,13.62818,15.38604,4.580949,4.588764,4.881741,32.50967,34.52837,35.39831,3.045681,3.045681,3.106853,3.106853,3.133215,3.133215,3.627053,3.719734,3.750213,6.178809,5.988887,7.851095,1.659097,1.759533,1.556127,2.116331,2.160024,2.228603,1.132949,1.059987,1.876902,2.999699,3.016286,3.161552,2.046162,1.912614,2.812641,14.81559,3.630547,1.556682,2.160048,7.468317,1.650791,2.775196,3.04233,4.786667,33.8572,3.086515,1.783034,2.081026,1.192789,2.630658,1.913039,1.683355,2.361875,1.813308,.5254048,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.300716,.1683728,2.662122,1.367159,2.952892,1.803898,2.269769,1.463606
"14.3901-Geological/Geophysical Engineering",143901,"14","143","1439",420,1,"Geological/Geophysical Engineering","Mining and Geological Engineers, Including Mining Safety Engineers","17-2151.00",32.3197,15.33866,17.6141,14.7056,2.140048,1.326682,3.700547,7.538318,2.020791,2.497696,3.01983,.1822453,.8794002,.9340181,.9552337,1.137962,4.768333,3.039924,4.5975,4.190834,5.5175,5.9225,"matched (3)",13.58129,12.52465,14.7056,4.580949,4.404842,4.768333,32.50967,29.23656,32.3197,3.045681,3.045681,2.946496,2.946496,3.039924,3.039924,3.627053,3.24543,3.700547,6.178809,5.907501,7.538318,1.659097,1.386841,1.326682,2.116331,1.984877,2.140048,1.132949,1.386706,2.020791,2.999699,2.585542,3.01983,2.046162,1.935253,2.497696,14.7056,3.700547,1.326682,2.140048,7.538318,2.020791,2.497696,3.01983,4.768333,32.3197,3.039924,1.783034,2.081026,.9154698,2.680585,1.892156,1.702073,2.343845,1.611939,.7542744,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.080634,.3974502,2.268166,1.386233,2.581565,1.233421,2.050412,1.438652
"14.0301-Agricultural Engineering",140301,"14","140","1403",1410,1,"Agricultural Engineering","Agricultural Engineers","17-2021.00",35.6347,19.44366,21.0666,14.56809,2.167548,1.656682,3.605546,7.138317,1.620791,2.420196,3.09733,-.2802548,1.0769,.904018,.9527336,.9504619,4.745417,3.140379,4.9275,4.0575,5.545,5.8275,"matched (3)",13.58129,13.62818,14.56809,4.580949,4.588764,4.745417,32.50967,34.52837,35.6347,3.045681,3.045681,3.106853,3.106853,3.140379,3.140379,3.627053,3.719734,3.605546,6.178809,5.988887,7.138317,1.659097,1.759533,1.656682,2.116331,2.160024,2.167548,1.132949,1.059987,1.620791,2.999699,3.016286,3.09733,2.046162,1.912614,2.420196,14.56809,3.605546,1.656682,2.167548,7.138317,1.620791,2.420196,3.09733,4.745417,35.6347,3.140379,1.783034,2.081026,1.313362,2.612827,1.92087,1.595117,2.405951,1.555701,.5068478,1,1,1,1,2.328128,.2304151,2.697641,1.515418,2.927434,1.676204,2.261044,1.551843,2.300716,.1683728,2.662122,1.367159,2.952892,1.803898,2.269769,1.463606
"26.1308-Systematic Biology/Biological Systematics",261308,"26","261","2613",9,1,"Systematic Biology/Biological Systematics","Bioinformatics Scientists","19-1029.01",6.332198,-9.461338,-8.223397,14.55559,2.122548,2.339183,1.358047,8.735818,4.813291,2.482697,1.43983,.9197453,-.7280998,-.2984819,.8402338,-.5220382,4.743333,2.252424,5.61,4.59,5.5,3.58,"matched (3)",10.47589,10.25967,10.71546,4.063383,4.027346,4.103311,14.6393,13.53882,10.83296,2.504155,2.504155,2.470807,2.470807,2.388811,2.388811,.5783085,.5235409,.38088,7.59349,7.311112,7.849651,1.042078,1.143838,1.175216,1.262016,1.281178,1.309715,3.990107,3.894908,4.396924,1.176138,1.112851,1.026064,2.427244,2.303354,2.426663,14.55559,1.358047,2.339183,2.122548,8.735818,4.813291,2.482697,1.43983,4.743333,6.332198,2.252424,1.783034,2.081026,2.136276,1.009809,1.873883,2.022269,1.077685,1.601054,2.481621,1,1,1,1,1.699467,2.273994,.9963498,1.843836,.5009884,.717546,1.170398,1.99338,1.628917,2.156062,.9212512,1.696358,.4506277,.8614577,1.169088,1.869006
