cipcode,cip6,cip2d,cip3d,cip4d,Awards,stem,ciptitle,onettitle,onetcode,know_score,unprof_score,nonstem_score,stem_score,math_score,comp_score,engin_score,science_score,bio_score,chem_score,physics_score,med_score,econ_score,manage_score,english_score,law_score,stem_raw,know_raw,comp_raw,science_raw,math_raw,engin_raw,_merge,Avg_Stem2,Avg_Stem3,Avg_Stem4,Avg_Stem2_raw,Avg_Stem3_raw,Avg_Stem4_raw,Avg_know2,Avg_know3,Avg_know4,Avg_know2x_raw,Avg_know2_raw,Avg_know3x_raw,Avg_know3_raw,Avg_know4x_raw,Avg_know4_raw,Avg_engin2,Avg_engin3,Avg_engin4,Avg_science2,Avg_science3,Avg_science4,Avg_comp2,Avg_comp3,Avg_comp4,Avg_math2,Avg_math3,Avg_math4,Avg_bio2,Avg_bio3,Avg_bio4,Avg_physics2,Avg_physics3,Avg_physics4,Avg_chem2,Avg_chem3,Avg_chem4,Best_STEM_score,Best_engin_score,Best_comp_score,Best_math_score,Best_science_score,Best_bio_score,Best_chem_score,Best_physics_score,Best_stem_raw,Best_know_score,Best_know_raw,Med_Avg_Stem2,Mean_Avg_Stem2,Z_Best_comp_score,Z_Best_engin_score,Z_Best_math_score,Z_Best_science_score,Z_Best_physics_score,Z_Best_chem_score,Z_Best_bio_score,stem_cip_onet,stem_high_any,stem_high_any2,stem_cip_mix,z_Avg_Stem2,z_Avg_bio2,z_Avg_physics2,z_Avg_chem2,z_Avg_engin2,z_Avg_comp2,z_Avg_math2,z_Avg_science2,z_Avg_Stem3,z_Avg_bio3,z_Avg_physics3,z_Avg_chem3,z_Avg_engin3,z_Avg_comp3,z_Avg_math3,z_Avg_science3
"16.0399-East Asian Languages, Literatures, and Linguistics, Other",160399,"16","160","1603",173,0,"East Asian Languages, Literatures, and Linguistics, Other","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0400-Slavic Languages, Literatures, and Linguistics, General",160400,"16","160","1604",225,0,"Slavic Languages, Literatures, and Linguistics, General","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0402-Russian Language and Literature",160402,"16","160","1604",588,0,"Russian Language and Literature","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0406-Czech Language and Literature",160406,"16","160","1604",0,0,"Czech Language and Literature","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0407-Polish Language and Literature",160407,"16","160","1604",12,0,"Polish Language and Literature","Interpreters and Translators","27-3091.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0408-Bosnian, Serbian, and Croatian Languages and Literatures",160408,"16","160","1604",1,0,"Bosnian, Serbian, and Croatian Languages and Literatures","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0499-Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other",160499,"16","160","1604",3,0,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.499406,1.63787,1.630571,1.5675,12.0113,11.52147,11.1722,2.424518,2.424518,2.409675,2.409675,2.399091,2.399091,-1.436731,-1.433039,-1.561953,-2.320084,-2.396049,-2.469182,.599812,.5861539,.5541824,-.9201805,-.8780426,-1.022452,-.2415486,-.2616996,-.2717091,-.9303796,-.9617317,-1.00017,-1.148155,-1.172618,-1.197304,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0501-German Language and Literature",160501,"16","160","1605",1592,0,"German Language and Literature","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.252531,1.63787,1.630571,1.608646,12.0113,11.52147,11.55303,2.424518,2.424518,2.409675,2.409675,2.410631,2.410631,-1.436731,-1.433039,-1.515703,-2.320084,-2.396049,-2.360224,.599812,.5861539,.5748074,-.9201805,-.8780426,-.9514105,-.2415486,-.2616996,-.2494174,-.9303796,-.9617317,-.9622531,-1.148155,-1.172618,-1.148554,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0502-Scandinavian Languages, Literatures, and Linguistics",160502,"16","160","1605",20,0,"Scandinavian Languages, Literatures, and Linguistics","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.252531,1.63787,1.630571,1.608646,12.0113,11.52147,11.55303,2.424518,2.424518,2.409675,2.409675,2.410631,2.410631,-1.436731,-1.433039,-1.515703,-2.320084,-2.396049,-2.360224,.599812,.5861539,.5748074,-.9201805,-.8780426,-.9514105,-.2415486,-.2616996,-.2494174,-.9303796,-.9617317,-.9622531,-1.148155,-1.172618,-1.148554,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
"16.0503-Danish Language and Literature",160503,"16","160","1605",1,0,"Danish Language and Literature","Foreign Language and Literature Teachers, Postsecondary","25-1124.00",11.1722,13.50366,15.6716,-4.499406,-1.022452,.5541824,-1.561953,-2.469182,-.2717091,-1.197304,-1.00017,-.2002547,-.6430998,-.5534819,2.015234,.3529618,1.5675,2.399091,3.825,.855,2.355,.66,"matched (3)",-4.077184,-4.120977,-4.252531,1.63787,1.630571,1.608646,12.0113,11.52147,11.55303,2.424518,2.424518,2.409675,2.409675,2.410631,2.410631,-1.436731,-1.433039,-1.515703,-2.320084,-2.396049,-2.360224,.599812,.5861539,.5748074,-.9201805,-.8780426,-.9514105,-.2415486,-.2616996,-.2494174,-.9303796,-.9617317,-.9622531,-1.148155,-1.172618,-1.148554,-4.499406,-1.561953,.5541824,-1.022452,-2.469182,-.2717091,-1.197304,-1.00017,1.5675,11.1722,2.399091,1.783034,2.081026,-.0159601,-1.072866,-1.409987,-.973811,-.8776494,-1.069357,-.6637889,0,0,0,0,-1.246676,-.7526921,-.9689275,-1.23745,-1.102748,.0304007,-1.615465,-1.100752,-1.239085,-.7583203,-.976151,-1.232159,-1.081157,.0078159,-1.535156,-1.107257
