"","STABBR","degType","year","statetotal","stem_high_any","totalawards","share"
"773","MN","Bachelor's",2014,41514,0,27539,0.663366575131281
"774","MN","Master's and Higher",2010,25578,0,19521,0.763194933145672
"775","MN","Master's and Higher",2010,25578,1,6057,0.236805066854328
"776","MN","Master's and Higher",2011,26962,1,5572,0.20666122691195
"777","MN","Master's and Higher",2011,26962,0,21390,0.79333877308805
"778","MN","Master's and Higher",2012,27485,1,6482,0.235837729670729
"779","MN","Master's and Higher",2012,27485,0,21003,0.764162270329271
"780","MN","Master's and Higher",2013,27646,1,6894,0.249366997033929
"781","MN","Master's and Higher",2013,27646,0,20752,0.750633002966071
"782","MN","Master's and Higher",2014,28025,0,21012,0.749759143621766
"783","MN","Master's and Higher",2014,28025,1,7013,0.250240856378234
"784","MO","Associate's and below",2010,29548,1,7666,0.259442263435766
"785","MO","Associate's and below",2010,29548,0,21882,0.740557736564235
"786","MO","Associate's and below",2011,33388,1,8309,0.248861866538876
"787","MO","Associate's and below",2011,33388,0,25079,0.751138133461124
"788","MO","Associate's and below",2012,31919,0,23648,0.740875340706162
"789","MO","Associate's and below",2012,31919,1,8271,0.259124659293838
"790","MO","Associate's and below",2013,31752,0,24054,0.75755857898715
"791","MO","Associate's and below",2013,31752,1,7698,0.24244142101285
"792","MO","Associate's and below",2014,30748,0,22593,0.734779497853519
"793","MO","Associate's and below",2014,30748,1,8155,0.265220502146481
"794","MO","Bachelor's",2010,43308,0,30283,0.699247252239771
"795","MO","Bachelor's",2010,43308,1,13025,0.300752747760229
"796","MO","Bachelor's",2011,44900,1,14024,0.312338530066815
"797","MO","Bachelor's",2011,44900,0,30876,0.687661469933185
"798","MO","Bachelor's",2012,47396,0,31553,0.665731285340535
"799","MO","Bachelor's",2012,47396,1,15843,0.334268714659465
"800","MO","Bachelor's",2013,44943,0,31652,0.704269852924816
"801","MO","Bachelor's",2013,44943,1,13291,0.295730147075184
"802","MO","Bachelor's",2014,44439,1,13776,0.309997974751907
"803","MO","Bachelor's",2014,44439,0,30658,0.689889511465155
"804","MO","Master's and Higher",2010,25137,1,6405,0.254803675856307
"805","MO","Master's and Higher",2010,25137,0,18732,0.745196324143693
"806","MO","Master's and Higher",2011,26115,0,19201,0.735247941795903
"807","MO","Master's and Higher",2011,26115,1,6914,0.264752058204097
"808","MO","Master's and Higher",2012,26500,1,7298,0.275396226415094
"809","MO","Master's and Higher",2012,26500,0,19202,0.724603773584906
"810","MO","Master's and Higher",2013,26093,1,7245,0.277660675276894
"811","MO","Master's and Higher",2013,26093,0,18848,0.722339324723106
"812","MO","Master's and Higher",2014,26508,0,18999,0.716727025803531
"813","MO","Master's and Higher",2014,26508,1,7509,0.283272974196469
"814","MP","Associate's and below",2010,66,1,10,0.151515151515152
"815","MP","Associate's and below",2010,66,0,56,0.848484848484849
"816","MP","Associate's and below",2011,105,1,16,0.152380952380952
"817","MP","Associate's and below",2011,105,0,89,0.847619047619048
"818","MP","Associate's and below",2012,104,1,24,0.230769230769231
"819","MP","Associate's and below",2012,104,0,80,0.769230769230769
"820","MP","Associate's and below",2013,133,1,45,0.338345864661654
"821","MP","Associate's and below",2013,133,0,88,0.661654135338346
"822","MP","Associate's and below",2014,123,1,33,0.268292682926829
"823","MP","Associate's and below",2014,123,0,90,0.731707317073171
"824","MP","Bachelor's",2010,19,0,19,1
"825","MP","Bachelor's",2011,14,0,14,1
"826","MP","Bachelor's",2012,14,0,14,1
"827","MP","Bachelor's",2013,29,0,29,1
"828","MP","Bachelor's",2014,35,0,35,1
"829","MS","Associate's and below",2010,14362,0,10094,0.702826904330873
"830","MS","Associate's and below",2010,14362,1,4268,0.297173095669127
"831","MS","Associate's and below",2011,16596,1,4264,0.256929380573632
"832","MS","Associate's and below",2011,16596,0,12332,0.743070619426368
"833","MS","Associate's and below",2012,18334,0,13746,0.749754554379841
"834","MS","Associate's and below",2012,18334,1,4588,0.250245445620159
"835","MS","Associate's and below",2013,17239,0,12753,0.739776089100296
"836","MS","Associate's and below",2013,17239,1,4486,0.260223910899704
"837","MS","Associate's and below",2014,19460,1,5277,0.271171634121274
"838","MS","Associate's and below",2014,19460,0,14183,0.728828365878726
"839","MS","Bachelor's",2010,12940,0,9311,0.719551777434312
"840","MS","Bachelor's",2010,12940,1,3629,0.280448222565688
"841","MS","Bachelor's",2011,13281,0,9377,0.706046231458475
"842","MS","Bachelor's",2011,13281,1,3904,0.293953768541525
"843","MS","Bachelor's",2012,13546,1,3995,0.294921009892219
"844","MS","Bachelor's",2012,13546,0,9551,0.705078990107781
