"","CBSA","degType","year","Cbsatotal","stem_high_any","totalawards","share"
"656",11460,"Associate's and below",2010,3646,0,2941,0.806637410861218
"657",11460,"Associate's and below",2010,3646,1,705,0.193362589138782
"658",11460,"Associate's and below",2011,4001,0,3248,0.811797050737316
"659",11460,"Associate's and below",2011,4001,1,753,0.188202949262684
"660",11460,"Associate's and below",2012,3911,0,3152,0.805931986704168
"661",11460,"Associate's and below",2012,3911,1,759,0.194068013295832
"662",11460,"Associate's and below",2013,3502,0,2848,0.81324957167333
"663",11460,"Associate's and below",2013,3502,1,654,0.18675042832667
"664",11460,"Associate's and below",2014,3187,1,562,0.176341386884217
"665",11460,"Associate's and below",2014,3187,0,2625,0.823658613115783
"666",11460,"Bachelor's",2010,11017,1,4012,0.364164473087047
"667",11460,"Bachelor's",2010,11017,0,7005,0.635835526912953
"668",11460,"Bachelor's",2011,11129,0,6945,0.624045287087789
"669",11460,"Bachelor's",2011,11129,1,4184,0.375954712912211
"670",11460,"Bachelor's",2012,10712,0,6581,0.614357729648992
"671",11460,"Bachelor's",2012,10712,1,4131,0.385642270351008
"672",11460,"Bachelor's",2013,11487,1,4396,0.382693479585619
"673",11460,"Bachelor's",2013,11487,0,7091,0.617306520414381
"674",11460,"Bachelor's",2014,11856,0,7191,0.606528340080972
"675",11460,"Bachelor's",2014,11856,1,4665,0.393471659919028
"676",11460,"Master's and Higher",2010,6905,1,2718,0.393627805937726
"677",11460,"Master's and Higher",2010,6905,0,4187,0.606372194062274
"678",11460,"Master's and Higher",2011,6968,0,4164,0.597588978185993
"679",11460,"Master's and Higher",2011,6968,1,2804,0.402411021814007
"680",11460,"Master's and Higher",2012,7124,0,3905,0.548147108366086
"681",11460,"Master's and Higher",2012,7124,1,3219,0.451852891633914
"682",11460,"Master's and Higher",2013,7531,1,3302,0.43845438852742
"683",11460,"Master's and Higher",2013,7531,0,4229,0.56154561147258
"684",11460,"Master's and Higher",2014,7492,1,3248,0.433529097704218
"685",11460,"Master's and Higher",2014,7492,0,4244,0.566470902295782
"686",11500,"Bachelor's",2010,1166,0,826,0.708404802744425
"687",11500,"Bachelor's",2010,1166,1,340,0.291595197255575
"688",11500,"Bachelor's",2011,1267,1,407,0.321231254932912
"689",11500,"Bachelor's",2011,1267,0,860,0.678768745067088
"690",11500,"Bachelor's",2012,1316,0,872,0.662613981762918
"691",11500,"Bachelor's",2012,1316,1,444,0.337386018237082
"692",11500,"Bachelor's",2013,1415,1,536,0.378798586572438
"693",11500,"Bachelor's",2013,1415,0,879,0.621201413427562
"694",11500,"Bachelor's",2014,1321,0,838,0.634367903103709
"695",11500,"Bachelor's",2014,1321,1,483,0.365632096896291
"696",11500,"Master's and Higher",2010,479,1,54,0.112734864300626
"697",11500,"Master's and Higher",2010,479,0,425,0.887265135699374
"698",11500,"Master's and Higher",2011,448,1,61,0.136160714285714
"699",11500,"Master's and Higher",2011,448,0,387,0.863839285714286
"700",11500,"Master's and Higher",2012,419,1,65,0.155131264916468
"701",11500,"Master's and Higher",2012,419,0,354,0.844868735083532
"702",11500,"Master's and Higher",2013,392,0,327,0.834183673469388
"703",11500,"Master's and Higher",2013,392,1,65,0.165816326530612
"704",11500,"Master's and Higher",2014,389,1,65,0.167095115681234
"705",11500,"Master's and Higher",2014,389,0,324,0.832904884318766
"706",11540,"Associate's and below",2010,2468,0,1980,0.80226904376013
