"","CBSA","degType","year","Cbsatotal","comp_high_any","totalawards","share"
"86",10180,"Master's and Higher",2014,416,1,0,0
"87",10180,"Master's and Higher",2014,416,0,314,0.754807692307692
"88",10220,"Associate's and below",2010,124,1,22,0.17741935483871
"89",10220,"Associate's and below",2010,124,0,70,0.564516129032258
"90",10220,"Associate's and below",2011,67,1,8,0.119402985074627
"91",10220,"Associate's and below",2011,67,0,47,0.701492537313433
"92",10220,"Associate's and below",2012,95,0,37,0.389473684210526
"93",10220,"Associate's and below",2012,95,1,53,0.557894736842105
"94",10220,"Associate's and below",2013,66,0,53,0.803030303030303
"95",10220,"Associate's and below",2013,66,1,11,0.166666666666667
"96",10220,"Associate's and below",2014,96,1,1,0.0104166666666667
"97",10220,"Associate's and below",2014,96,0,86,0.895833333333333
"98",10220,"Bachelor's",2010,644,1,14,0.0217391304347826
"99",10220,"Bachelor's",2010,644,0,556,0.863354037267081
"100",10220,"Bachelor's",2011,679,1,18,0.0265095729013255
"101",10220,"Bachelor's",2011,679,0,599,0.882179675994109
"102",10220,"Bachelor's",2012,668,0,586,0.877245508982036
"103",10220,"Bachelor's",2012,668,1,14,0.0209580838323353
"104",10220,"Bachelor's",2013,711,0,637,0.89592123769339
"105",10220,"Bachelor's",2013,711,1,21,0.029535864978903
"106",10220,"Bachelor's",2014,686,1,20,0.0291545189504373
"107",10220,"Bachelor's",2014,686,0,608,0.886297376093295
"108",10220,"Master's and Higher",2010,311,0,309,0.993569131832797
"109",10220,"Master's and Higher",2011,320,0,312,0.975
"110",10220,"Master's and Higher",2012,271,0,268,0.988929889298893
"111",10220,"Master's and Higher",2013,305,0,300,0.983606557377049
"112",10220,"Master's and Higher",2014,282,0,278,0.985815602836879
"113",10300,"Associate's and below",2010,40,0,35,0.875
"114",10300,"Associate's and below",2010,40,1,2,0.05
"115",10300,"Associate's and below",2011,27,0,24,0.888888888888889
"116",10300,"Associate's and below",2011,27,1,1,0.037037037037037
